Date,Max,Min
23/5/2021, 13, 7
24/5/2021, 13, 7
25/5/2021, 14, 6
26/5/2021, 16, 7
27/5/2021, 18, 9
28/5/2021, 20, 12
29/5/2021, 21, 9
30/5/2021, 22, 10
31/5/2021, 22, 11
1/6/2021, 23, 14
2/6/2021, 23, 14
3/6/2021, 21, 12
4/6/2021, 20, 9
5/6/2021, 21, 11
6/6/2021, 22, 14
7/6/2021, 22, 9
8/6/2021, 20, 11
9/6/2021, 23, 14
10/6/2021, 23, 16
11/6/2021, 22, 14
12/6/2021, 21, 13
13/6/2021, 25, 14
14/6/2021, 23, 14
15/6/2021, 22, 13
16/6/2021, 24, 14
17/6/2021, 21, 15
18/6/2021, 16, 14
19/6/2021, 17, 14
20/6/2021, 20, 13
21/6/2021, 15, 11
